Epoch 129/1000, Loss: 0.3487608026841591, Accuracy: 0.8709
Epoch 130/1000, Loss: 0.3416207329980258, Accuracy: 0.8796
Epoch 131/1000, Loss: 0.34302649056089335, Accuracy: 0.8796
Epoch 132/1000, Loss: 0.33932919800281525, Accuracy: 0.8742
Epoch 133/1000, Loss: 0.33376201165133507, Accuracy: 0.8829
Epoch 134/1000, Loss: 0.3410223922852812, Accuracy: 0.8775
Epoch 135/1000, Loss: 0.3315248330091608, Accuracy: 0.8840
Epoch 136/1000, Loss: 0.32975985058422747, Accuracy: 0.8796
Epoch 137/1000, Loss: 0.31886355013682927, Accuracy: 0.8840
Epoch 138/1000, Loss: 0.3175956349948357, Accuracy: 0.8884
Epoch 139/1000, Loss: 0.3119447339197685, Accuracy: 0.8895
Epoch 140/1000, Loss: 0.3243535890661437, Accuracy: 0.8873
Epoch 141/1000, Loss: 0.3151708173340765, Accuracy: 0.8840
Epoch 142/1000, Loss: 0.31075210869312286, Accuracy: 0.8961
Epoch 143/1000, Loss: 0.3023856271957529, Accuracy: 0.9004
Epoch 144/1000, Loss: 0.3022282051629034, Accuracy: 0.9004
Epoch 145/1000, Loss: 0.2957287646573165, Accuracy: 0.8993
Epoch 146/1000, Loss: 0.29438784050530403, Accuracy: 0.9026
Epoch 147/1000, Loss: 0.2953768377674037, Accuracy: 0.9048
Epoch 148/1000, Loss: 0.2999637604787432, Accuracy: 0.8982
Epoch 149/1000, Loss: 0.29155022882182025, Accuracy: 0.8972
Epoch 150/1000, Loss: 0.27986969618961727, Accuracy: 0.9026
Epoch 151/1000, Loss: 0.2847965632019372, Accuracy: 0.9114
Epoch 152/1000, Loss: 0.2694642225216175, Accuracy: 0.9158
Epoch 153/1000, Loss: 0.2746930281663763, Accuracy: 0.9158
Epoch 154/1000, Loss: 0.27520237914447127, Accuracy: 0.9114
Epoch 155/1000, Loss: 0.2699125275529664, Accuracy: 0.9114
Epoch 156/1000, Loss: 0.2655432974470073, Accuracy: 0.9168
Epoch 157/1000, Loss: 0.26132837400354186, Accuracy: 0.9147
Epoch 158/1000, Loss: 0.2569521850553052, Accuracy: 0.9212
Epoch 159/1000, Loss: 0.25362914595110664, Accuracy: 0.9245
Epoch 160/1000, Loss: 0.25814786193699674, Accuracy: 0.9168
Epoch 161/1000, Loss: 0.2493915521893008, Accuracy: 0.9322
Epoch 162/1000, Loss: 0.24696761266938572, Accuracy: 0.9289
Epoch 163/1000, Loss: 0.24909044493888988, Accuracy: 0.9267
Epoch 164/1000, Loss: 0.24950676899531793, Accuracy: 0.9256
Epoch 165/1000, Loss: 0.23937962666667742, Accuracy: 0.9245
Epoch 166/1000, Loss: 0.24498045650021782, Accuracy: 0.9344
Epoch 167/1000, Loss: 0.25021391182110225, Accuracy: 0.9267
Epoch 168/1000, Loss: 0.23547106056377806, Accuracy: 0.9409
Epoch 169/1000, Loss: 0.227932785091729, Accuracy: 0.9300
Epoch 170/1000, Loss: 0.23168886992438087, Accuracy: 0.9354
Epoch 171/1000, Loss: 0.22992989035515948, Accuracy: 0.9344
Epoch 172/1000, Loss: 0.22321918041541658, Accuracy: 0.9344
Epoch 173/1000, Loss: 0.2184751154533748, Accuracy: 0.9431
Epoch 174/1000, Loss: 0.21536560510766917, Accuracy: 0.9409
Epoch 175/1000, Loss: 0.21146123573697848, Accuracy: 0.9387
Epoch 176/1000, Loss: 0.21861940416796455, Accuracy: 0.9475
Epoch 177/1000, Loss: 0.21341614502257314, Accuracy: 0.9486
Epoch 178/1000, Loss: 0.2128877367438941, Accuracy: 0.9420
Epoch 179/1000, Loss: 0.20925649615197345, Accuracy: 0.9354
Epoch 180/1000, Loss: 0.2019459281502099, Accuracy: 0.9508
Epoch 181/1000, Loss: 0.2002423089639894, Accuracy: 0.9497
Epoch 182/1000, Loss: 0.2004240597116536, Accuracy: 0.9519
Epoch 183/1000, Loss: 0.20215775355182844, Accuracy: 0.9442
Epoch 184/1000, Loss: 0.1966799813611754, Accuracy: 0.9573
Epoch 185/1000, Loss: 0.19117267429828644, Accuracy: 0.9486
Epoch 186/1000, Loss: 0.19770350178767895, Accuracy: 0.9519
Epoch 187/1000, Loss: 0.19744260711916561, Accuracy: 0.9409
Epoch 188/1000, Loss: 0.18329612088614497, Accuracy: 0.9573
Epoch 189/1000, Loss: 0.183887530118227, Accuracy: 0.9562
Epoch 190/1000, Loss: 0.18389819074293662, Accuracy: 0.9573
Epoch 191/1000, Loss: 0.17761599144031262, Accuracy: 0.9530
Epoch 192/1000, Loss: 0.17140763895264988, Accuracy: 0.9661
Epoch 193/1000, Loss: 0.17127529583100615, Accuracy: 0.9584
Epoch 194/1000, Loss: 0.1680617751232509, Accuracy: 0.9650
Epoch 195/1000, Loss: 0.16630414924744902, Accuracy: 0.9617
Epoch 196/1000, Loss: 0.16657279637353173, Accuracy: 0.9639
Epoch 197/1000, Loss: 0.16446534980987682, Accuracy: 0.9617
Epoch 198/1000, Loss: 0.16586353938127385, Accuracy: 0.9606
Epoch 199/1000, Loss: 0.16922339026270242, Accuracy: 0.9573
Epoch 200/1000, Loss: 0.1682906967812571, Accuracy: 0.9650
Epoch 201/1000, Loss: 0.15490003521072454, Accuracy: 0.9628
Epoch 202/1000, Loss: 0.15643823943261442, Accuracy: 0.9683
Epoch 203/1000, Loss: 0.15478836924865327, Accuracy: 0.9661
Epoch 204/1000, Loss: 0.1531189078914708, Accuracy: 0.9683
Epoch 205/1000, Loss: 0.15023166660604806, Accuracy: 0.9639
Epoch 206/1000, Loss: 0.14822008460760117, Accuracy: 0.9661
Epoch 207/1000, Loss: 0.14672407225288195, Accuracy: 0.9705
Epoch 208/1000, Loss: 0.14653242739110156, Accuracy: 0.9672
Epoch 209/1000, Loss: 0.14988539290839228, Accuracy: 0.9628
Epoch 210/1000, Loss: 0.142247320762996, Accuracy: 0.9726
Epoch 211/1000, Loss: 0.1352842578600193, Accuracy: 0.9694
Epoch 212/1000, Loss: 0.13687549839759694, Accuracy: 0.9694
Epoch 213/1000, Loss: 0.13370052236935187, Accuracy: 0.9748
Epoch 214/1000, Loss: 0.13166277393184858, Accuracy: 0.9726
Epoch 215/1000, Loss: 0.13186321124948305, Accuracy: 0.9726
Epoch 216/1000, Loss: 0.12839168682694435, Accuracy: 0.9748
Epoch 217/1000, Loss: 0.12789421862569347, Accuracy: 0.9726
Epoch 218/1000, Loss: 0.12514544740833086, Accuracy: 0.9770
Epoch 219/1000, Loss: 0.12486316751817177, Accuracy: 0.9781
Epoch 220/1000, Loss: 0.12390963013829856, Accuracy: 0.9748
Epoch 221/1000, Loss: 0.12497342146676162, Accuracy: 0.9759
Epoch 222/1000, Loss: 0.12861922075008525, Accuracy: 0.9683
Epoch 223/1000, Loss: 0.12696097945344859, Accuracy: 0.9748
Epoch 224/1000, Loss: 0.12169104968679362, Accuracy: 0.9748
Epoch 225/1000, Loss: 0.12348979814299221, Accuracy: 0.9770
Epoch 226/1000, Loss: 0.12352104844718144, Accuracy: 0.9672
Epoch 227/1000, Loss: 0.11474930790477786, Accuracy: 0.9814
Epoch 228/1000, Loss: 0.11647103392872317, Accuracy: 0.9770
Epoch 229/1000, Loss: 0.10908638313412666, Accuracy: 0.9825
Epoch 230/1000, Loss: 0.11126885665901776, Accuracy: 0.9803
Epoch 231/1000, Loss: 0.11541147453003917, Accuracy: 0.9781
Epoch 232/1000, Loss: 0.10977719929711573, Accuracy: 0.9803
Epoch 233/1000, Loss: 0.10612121674007383, Accuracy: 0.9825
Epoch 234/1000, Loss: 0.10377410670806622, Accuracy: 0.9869
Epoch 235/1000, Loss: 0.10615516312677285, Accuracy: 0.9781
Epoch 236/1000, Loss: 0.10361312907831423, Accuracy: 0.9825
Epoch 237/1000, Loss: 0.10137545394486394, Accuracy: 0.9836
Epoch 238/1000, Loss: 0.09825398541730025, Accuracy: 0.9847
Epoch 239/1000, Loss: 0.09975943483155349, Accuracy: 0.9825
Epoch 240/1000, Loss: 0.10360238791025918, Accuracy: 0.9792
Epoch 241/1000, Loss: 0.09365775127863062, Accuracy: 0.9880
Epoch 242/1000, Loss: 0.09793320465190657, Accuracy: 0.9836
Epoch 243/1000, Loss: 0.09080405147938893, Accuracy: 0.9858
Epoch 244/1000, Loss: 0.09512366624227886, Accuracy: 0.9847
Epoch 245/1000, Loss: 0.09006977607977801, Accuracy: 0.9847
Epoch 246/1000, Loss: 0.09163513882406826, Accuracy: 0.9912
Epoch 247/1000, Loss: 0.09063388805451064, Accuracy: 0.9847
Epoch 248/1000, Loss: 0.085931740444282, Accuracy: 0.9923
Epoch 249/1000, Loss: 0.0856543147358401, Accuracy: 0.9880
Epoch 250/1000, Loss: 0.08963931364745929, Accuracy: 0.9891
Epoch 251/1000, Loss: 0.08728481405254068, Accuracy: 0.9869
Epoch 252/1000, Loss: 0.08470733579376648, Accuracy: 0.9869
Epoch 253/1000, Loss: 0.08436812691647431, Accuracy: 0.9869
Epoch 254/1000, Loss: 0.09032536876098864, Accuracy: 0.9891
